SPASE_ResourceName,HelioDate_short_name,SPASE_AlternateName,HelioDate_long_name
Dead Horse Geophysical Observatory,DED,[''],Dead Horse Geophysical Observatory
Dededo Geophysical Observatory,GUA,[''],Dededo Geophysical Observatory
Del Rio,Del Rio,['Observatory Station Code: DLR'],Observatory Station Code: DLR
Derby Geophysical Observatory,DRBY,[''],Derby Geophysical Observatory
Dikson Geophysical Observatory,Dikson Geophysical Observatory,[''],Dikson Geophysical Observatory
Dombas Geophysical Observatory,Dombas Geophysical Observatory,[''],Dombas Geophysical Observatory
Dome Concordia,Dome Concordia,['Observatory Station Code: DMC'],Observatory Station Code: DMC
Donna Geophysical Observatory,Donna Geophysical Observatory,[''],Donna Geophysical Observatory
Dourbes,Dourbes,['Observatory Station Code: DOU'],Observatory Station Code: DOU
Technical University of Danmark,Technical University of Danmark,['DTU'],DTU
Dumont d'Urville,Dumont d'Urville,['Observatory Station Code: DRV'],Observatory Station Code: DRV
Dusheti,Dusheti,"['Tblisi', 'Observatory Station Code: TFS']",Observatory Station Code: TFS
Dymer,Dymer,['Observatory Station Code: KIV'],Observatory Station Code: KIV
Eagle Geophysical Observatory,EAGL,[''],Eagle Geophysical Observatory
Easter Island,Easter Island,['Observatory Station Code: EIC'],Observatory Station Code: EIC
Ebro,Ebro,['Observatory Station Code: EBR'],Observatory Station Code: EBR
Eights,Eights,['Observatory Station Code: EGS'],Observatory Station Code: EGS
Eilat,Eilat,['Observatory Station Code: ELT'],Observatory Station Code: ELT
Ekaterinburg,Ekaterinburg,['Observatory Station Code: EKT'],Observatory Station Code: EKT
Ekati Geophysical Observatory,EKAT,['Observatory Station Code: EKAT'],Observatory Station Code: EKAT
Esashi,Esashi,['Observatory Station Code: ESA'],Observatory Station Code: ESA
Eskdalemuir,Eskdalemuir,['Observatory Station Code: ESK'],Observatory Station Code: ESK
Etaiyapuram,Etaiyapuram,['Observatory Station Code: ETT'],Observatory Station Code: ETT
Eyrewell,Eyrewell,['Observatory Station Code: EYR'],Observatory Station Code: EYR
Fanning,Fanning,['Observatory Station Code: FAN'],Observatory Station Code: FAN
Faraday Islands,Faraday Islands,"['Argentine Island', 'Observatory Station Code: AIA']",Observatory Station Code: AIA
Flin Flon Geophysical Observatory,Flin Flon Geophysical Observatory,"['Flin Flon Vector Magnetic Field 0.5 s Data Geophysical Observatory', 'Observatory Station Code: TPAS', 'The Pas']",Flin Flon Vector Magnetic Field 0.5 s Data Geophysical Observatory
Fort Churchill Geophysical Observatory,Fort Churchill Geophysical Observatory,['Observatory Station Code: FCC'],Observatory Station Code: FCC
Fort Churchill Geophysical Observatory,Fort Churchill Geophysical Observatory,['Observatory Station Code: FCHU'],Observatory Station Code: FCHU
Fort Nelson Geophysical Observatory,FTN,['Observatory Station Code: FTN'],Observatory Station Code: FTN
Fort Rae 2,Fort Rae,['Observatory Station Code: FRA'],Observatory Station Code: FRA
Fort Simpson Geophysical Observatory,Fort Simpson Geophysical Observatory,['Observatory Station Code: FSIM'],Observatory Station Code: FSIM
Fort Smith Geophysical Observatory,Fort Smith Geophysical Observatory,['Observatory Station Code: FSMI'],Observatory Station Code: FSMI
Fort St. John Geophysical Observatory,FSJ,['Observatory Station Code: FSJ'],Observatory Station Code: FSJ
Fort Yates Geophysical Observatory,FYTS,['Observatory Station Code: FYTS'],Observatory Station Code: FYTS
Fort Yukon Geophysical Observatory,Fort Yukon Geophysical Observatory,['Observatory Station Code: FYKN'],Observatory Station Code: FYKN
Fredericksburg Geophysical Observatory,Fredericksburg Geophysical Observatory,['Observatory Station Code: FRD'],Observatory Station Code: FRD
Freetown 2,Freetown,['Observatory Station Code: FTN'],Observatory Station Code: FTN
Fresno Geophysical Observatory,Fresno Geophysical Observatory,['Observatory Station Code: FRN'],Observatory Station Code: FRN
Fuquene,Fuquene,['Observatory Station Code: FUQ'],Observatory Station Code: FUQ
Furstenfeldbruck,Furstenfeldbruck,['Observatory Station Code: FUR'],Observatory Station Code: FUR
Geoscience Australia,Geoscience Australia,['GA'],GA
Gakona Geophysical Observatory,Gakona Geophysical Observatory,['Observatory Station Code: GAKO'],Observatory Station Code: GAKO
Geomagnetic Data Center Russia Ukraine,Geomagnetic Data Center Russia Ukraine,['GCRAS'],GCRAS
GeoForschungsZentrum ,GeoForschungsZentrum,"['German Research Centre for Geosciences', 'GFZ']",German Research Centre for Geosciences
Gillam Geophysical Observatory,Gillam Geophysical Observatory,['Observatory Station Code: GILL'],Observatory Station Code: GILL
Geophysical Institute Magnetometer Array,GIMA,['GIMA'],GIMA
Gjoa Haven Geophysical Observatory,GJOA,['Observatory Station Code: GJOA'],Observatory Station Code: GJOA
Glenlea,Glenlea,['Observatory Station Code: GLN'],Observatory Station Code: GLN
Glyndon Geophysical Observatory,GLYN,['Observatory Station Code: GLYN'],Observatory Station Code: GLYN
THEMIS-Associated Ground Magnetometer Stations,GMAG,[''],THEMIS-Associated Ground Magnetometer Stations
Gnangara,Gnangara,['Observatory Station Code: GNA'],Observatory Station Code: GNA
Golmud,Golmud,['Observatory Station Code: GLM'],Observatory Station Code: GLM
Goose Bay Geophysical Observatory,GBAY,['Observatory Station Code: GBAY'],Observatory Station Code: GBAY
Gornotayezhnaya,Gornotayezhnaya,['Observatory Station Code: VLA'],Observatory Station Code: VLA
Grahamstown,Grahamstown,['Observatory Station Code: GRM'],Observatory Station Code: GRM
Great Whale River,Great Whale River,['Observatory Station Code: GWC'],Observatory Station Code: GWC
Grocka,Grocka,['Observatory Station Code: GCK'],Observatory Station Code: GCK
Guam,Guam,['Observatory Station Code: GUA'],Observatory Station Code: GUA
Guangzhou,Guangzhou,['Observatory Station Code: GZH'],Observatory Station Code: GZH
Guimar,Guimar,['Observatory Station Code: GUI'],Observatory Station Code: GUI
Halley Bay,Halley Bay,['Observatory Station Code: HBA'],Observatory Station Code: HBA
Hankasalmi Geophysical Observatory,Hankasalmi Geophysical Observatory,[''],Hankasalmi Geophysical Observatory
Harris Geophysical Observatory,HRIS,['Observatory Station Code: HRIS'],Observatory Station Code: HRIS
Hartebeesthoek,Hartebeesthoek,['Observatory Station Code: HBK'],Observatory Station Code: HBK
Hartland,Hartland,['Observatory Station Code: HAD'],Observatory Station Code: HAD
Hatizyo,Hatizyo,['Observatory Station Code: HTY'],Observatory Station Code: HTY
Heiss Island,Heiss Island,['Observatory Station Code: HIS'],Observatory Station Code: HIS
Hel,Hel,['Observatory Station Code: HLP'],Observatory Station Code: HLP
Helwan,Helwan,['Observatory Station Code: HLW'],Observatory Station Code: HLW
Hermanus,Hermanus,['Observatory Station Code: HER'],Observatory Station Code: HER
Hollandia,Hollandia,['Observatory Station Code: HNA'],Observatory Station Code: HNA
Homer Geophysical Observatory,Homer Geophysical Observatory,['Observatory Station Code: HOMR'],Observatory Station Code: HOMR
Honolulu Geophysical Observatory,Honolulu Geophysical Observatory,['Observatory Station Code: HON'],Observatory Station Code: HON
Hopen Geophysical Observatory,Hopen Geophysical Observatory,['Observatory Station Code: HOP'],Observatory Station Code: HOP
Hornepayne Geophysical Observatory,Hornepayne Geophysical Observatory,['Observatory Station Code: HRP'],Observatory Station Code: HRP
Hornsund,Hornsund,['Observatory Station Code: HRN'],Observatory Station Code: HRN
Hot Springs Geophysical Observatory,Hot Springs Geophysical Observatory,['Observatory Station Code: HOTS'],Observatory Station Code: HOTS
Hov Faroe Islands Geophysical Observatory,Hov Faroe Islands Geophysical Observatory,[''],Hov Faroe Islands Geophysical Observatory
Huancayo,Huancayo,['Observatory Station Code: HUA'],Observatory Station Code: HUA
Hurbanovo,Hurbanovo,['Observatory Station Code: HRB'],Observatory Station Code: HRB
Hyderabad,Hyderabad,['Observatory Station Code: HYB'],Observatory Station Code: HYB
Ibadan,Ibadan,['Observatory Station Code: IBD'],Observatory Station Code: IBD
Igloolik Geophysical Observatory,IGLO,['Observatory Station Code: IGLO'],Observatory Station Code: IGLO
Indian Institute of Geomagnetism,Indian Institute of Geomagnetism,['IIG'],IIG
International Monitor for Auroral Geomagnetic Effects,International Monitor for Auroral Geomagnetic Effects,['IMAGE'],IMAGE
INTERMAGNET,INTERMAGNET,['International Real-time Magnetic Observatory Network'],International Real-time Magnetic Observatory Network
Inukjuak Geophysical Observatory,INUK,['Observatory Station Code: INUK'],Observatory Station Code: INUK
Inuvik Geophysical Observatory,Inuvik Geophysical Observatory,['Observatory Station Code: INUV'],Observatory Station Code: INUV
Iqaluit Geophysical Observatory,Iqaluit Geophysical Observatory,['Observatory Station Code: IQA'],Observatory Station Code: IQA
Istanbul-Kandilli,Istanbul Kandilli,['Observatory Station Code: ISK'],Observatory Station Code: ISK
Ittoqqortoormiit Geophysical Observatory,SCO,['Observatory Station Code: SCO'],Observatory Station Code: SCO
Ivalo Geophysical Observatory,Ivalo Geophysical Observatory,['Observatory Station Code: IVA'],Observatory Station Code: IVA
Iznik,Iznik,['Observatory Station Code: IZN'],Observatory Station Code: IZN
Jackvik Geophysical Observatory,JCK,['Observatory Station Code: JCK'],Observatory Station Code: JCK
Jaipur,Jaipur,['Observatory Station Code: JAI'],Observatory Station Code: JAI
Jan Mayen Geophysical Observatory,Jan Mayen Geophysical Observatory,['Observatory Station Code: JAN'],Observatory Station Code: JAN
Jarvis Island,Jarvis Island,['Observatory Station Code: JRV'],Observatory Station Code: JRV
Jim Carrigan Observatory,Jim Carrigan Observatory,['Observatory Station Code: JCO'],Observatory Station Code: JCO
Kakadu,Kakadu,['Observatory Station Code: KDU'],Observatory Station Code: KDU
Kakioka,Kakioka,['Observatory Station Code: KAK'],Observatory Station Code: KAK
Kaktovik Geophysical Observatory,KAKO,['Observatory Station Code: KAKO'],Observatory Station Code: KAKO
Kangerlussuaq Geophysical Observatory,STF,['Observatory Station Code: STF'],Observatory Station Code: STF
Kanoya,Kanoya,['Observatory Station Code: KNY'],Observatory Station Code: KNY
Kanozan,Kanozan,['Observatory Station Code: KNZ'],Observatory Station Code: KNZ
Kapuskasing Geophysical Observatory,KAPU,['Observatory Station Code: KAPU'],Observatory Station Code: KAPU
Karachi,Karachi,['Observatory Station Code: KRC'],Observatory Station Code: KRC
Karmoy Geophysical Observatory,KAR,[''],Karmoy Geophysical Observatory
Kashi,Kashi,['Observatory Station Code: KSH'],Observatory Station Code: KSH
Keetmanshoop,Keetmanshoop,['Observatory Station Code: KMH'],Observatory Station Code: KMH
Kenai Geophysical Observatory,KENA,['Observatory Station Code: KENA'],Observatory Station Code: KENA
Kevo Geophysical Observatory,KEV,['Observatory Station Code: KEV'],Observatory Station Code: KEV
Kiana Geophysical Observatory,KIAN,['Observatory Station Code: KIAN'],Observatory Station Code: KIAN
Kilpisjarvi Geophysical Observatory,KIL,['Observatory Station Code: KIL'],Observatory Station Code: KIL
Kiruna,Kiruna,['Observatory Station Code: KIR'],Observatory Station Code: KIR
Kodaikanal,Kodaikanal,['Observatory Station Code: KOD'],Observatory Station Code: KOD
Kodiak Geophysical Observatory,KODK,['Observatory Station Code: KODK'],Observatory Station Code: KODK
Koror,Koror,['Observatory Station Code: KOR'],Observatory Station Code: KOR
Kourou,Kourou,['Observatory Station Code: KOU'],Observatory Station Code: KOU
Krasnaya Pakhra,Krasnaya Pakhra,"['Moscow', 'Observatory Station Code: MOS']",Observatory Station Code: MOS
Kullorsuaq Geophysical Observatory,KUV,['Observatory Station Code: KUV'],Observatory Station Code: KUV
Kuujjuaq Geophysical Observatory,KUUJ,['Observatory Station Code: KUUJ'],Observatory Station Code: KUUJ
Kuujjuarapik Geophysical Observatory,KJPK,['Observatory Station Code: KJPK'],Observatory Station Code: KJPK
L'Aquila,L'Aquila,['Observatory Station Code: AQU'],Observatory Station Code: AQU
La Paz,La Paz,['Observatory Station Code: LPB'],Observatory Station Code: LPB
La Quiaca,La Quiaca,['Observatory Station Code: LQA'],Observatory Station Code: LQA
La Ronge Geophysical Observatory,LRG,['Observatory Station Code: LRG'],Observatory Station Code: LRG
Lanzhou,Lanzhou,['Observatory Station Code: LZH'],Observatory Station Code: LZH
Las Mesas,Las Mesas,"['Tenerife', 'Observatory Station Code: TEN']",Observatory Station Code: TEN
Laurel Geophysical Observatory,LREL,['Observatory Station Code: LREL'],Observatory Station Code: LREL
Leadville,Leadville,['Observatory Station Code: LDV'],Observatory Station Code: LDV
Learmonth,Learmonth,[''],Learmonth
Leirvogur Geophysical Observatory,Leirvogur Geophysical Observatory,[''],Leirvogur Geophysical Observatory
Leningradskaya,Leningradskaya,['Observatory Station Code: LEN'],Observatory Station Code: LEN
Lerwick,Lerwick,['Observatory Station Code: LER'],Observatory Station Code: LER
Lethbridge Geophysical Observatory,LETH,['Observatory Station Code: LETH'],Observatory Station Code: LETH
Linares Geophysical Observatory,LRES,['Observatory Station Code: LRES'],Observatory Station Code: LRES
Little America,Little America,['Observatory Station Code: LAA'],Observatory Station Code: LAA
Livingston Island,Livingston Island,['Observatory Station Code: LIV'],Observatory Station Code: LIV
Logrono,Logrono,['Observatory Station Code: LGR'],Observatory Station Code: LGR
Longyearbyen Geophysical Observatory,LYR,['Observatory Station Code: LYR'],Observatory Station Code: LYR
Loparskaya,Loparskaya,['Observatory Station Code: MMK'],Observatory Station Code: MMK
Lovo,Lovo,['Observatory Station Code: LOV'],Observatory Station Code: LOV
Lovozero Geophysical Observatory,Lovozero Geophysical Observatory,['Observatory Station Code: LOZ'],Observatory Station Code: LOZ
Loysburg Geophysical Observatory,LOYS,['Observatory Station Code: LOYS'],Observatory Station Code: LOYS
Luanda Belas,Luanda Belas,['Observatory Station Code: LUA'],Observatory Station Code: LUA
Lucky Lake Geophysical Observatory,Lucky Lake Geophysical Observatory,['Observatory Station Code: LCL'],Observatory Station Code: LCL
Lunping,Lunping,['Observatory Station Code: LNP'],Observatory Station Code: LNP
Lvov,Lvov,['Observatory Station Code: LVV'],Observatory Station Code: LVV
Lwiro,Lwiro,['Observatory Station Code: LWI'],Observatory Station Code: LWI
Lycksele,Lycksele,['Observatory Station Code: LYC'],Observatory Station Code: LYC
Lyford Geophysical Observatory,LYFD,['Observatory Station Code: LYFD'],Observatory Station Code: LYFD
Magnetometer Array for Cusp and Cleft Studies,MACCS,['MACCS'],MACCS
Manhay,Manhay,['Observatory Station Code: MAB'],Observatory Station Code: MAB
Maniitsoq Geophysical Observatory,SKT,['Observatory Station Code: SKT'],Observatory Station Code: SKT
Manzhouli,Manzhouli,['Observatory Station Code: MZL'],Observatory Station Code: MZL
Maputo,Maputo,['Observatory Station Code: LMM'],Observatory Station Code: LMM
Marion Island,Marion Island,['Observatory Station Code: MRN'],Observatory Station Code: MRN
Martin de Vivies,Martin de Vivies,['Observatory Station Code: AMS'],Observatory Station Code: AMS
Masi Geophysical Observatory,MAS,['Observatory Station Code: MAS'],Observatory Station Code: MAS
MLSO,MLSO,['Mauna Loa Solar Observatory'],Mauna Loa Solar Observatory
MBour,MBour,['Observatory Station Code: MBO'],Observatory Station Code: MBO
McGrath Geophysical Observatory,MCGR,['Observatory Station Code: MCGR'],Observatory Station Code: MCGR
"Mid-continent Magnetoseismic Chain, McMAC, Observatory Chain",McMAC,[''],"Mid-continent Magnetoseismic Chain, McMAC, Observatory Chain"
Meanook Geophysical Observatory,Meanook Geophysical Observatory,['Observatory Station Code: MEA'],Observatory Station Code: MEA
Mekrijarvi Geophysical Observatory,MEK,['Observatory Station Code: MEK'],Observatory Station Code: MEK
Memambetsu,Memambetsu,['Observatory Station Code: MMB'],Observatory Station Code: MMB
Midway,Midway,['Observatory Station Code: MID'],Observatory Station Code: MID
Mirny,Mirny,['Observatory Station Code: MIR'],Observatory Station Code: MIR
Misallat,Misallat,['Observatory Station Code: MLT'],Observatory Station Code: MLT
Mizusawa,Mizusawa,['Observatory Station Code: MIZ'],Observatory Station Code: MIZ
Moca,Moca,['Observatory Station Code: MFP'],Observatory Station Code: MFP
Molodezhnaya,Molodezhnaya,['Observatory Station Code: MOL'],Observatory Station Code: MOL
Monte Capellino,Monte Capellino,['Observatory Station Code: MCP'],Observatory Station Code: MCP
Mould Bay,Mould Bay,['Observatory Station Code: MBC'],Observatory Station Code: MBC
Muntinlupa,Muntinlupa,['Observatory Station Code: MUT'],Observatory Station Code: MUT
Muono Geophysical Observatory,MUO,['Observatory Station Code: Muo'],Observatory Station Code: Muo
Murchison Bay,Murchison Bay,['Observatory Station Code: MUB'],Observatory Station Code: MUB
Near Conjugate Northern Auroral Electrojet Index,Near Conjugate Northern Auroral Electrojet Index,[''],Near Conjugate Northern Auroral Electrojet Index
Nagpur,Nagpur,['Observatory Station Code: NGP'],Observatory Station Code: NGP
Nagycenk,Nagycenk,['Observatory Station Code: NCK'],Observatory Station Code: NCK
Nain Geophysical Observatory,Nain Geophysical Observatory,['Observatory Station Code: NAIN'],Observatory Station Code: NAIN
Nairobi,Nairobi,['Observatory Station Code: NAI'],Observatory Station Code: NAI
Nampula,Nampula,['Observatory Station Code: NMP'],Observatory Station Code: NMP
Narsarsuaq Geophysical Observatory,NRSQ,['Observatory Station Code: NRSQ'],Observatory Station Code: NRSQ
NASA Stennis Space Center Geophysical Observatory,BSL,['Observatory Station Code: BSL'],Observatory Station Code: BSL
Neumayer Station III,Neumayer Station III,['Observatory Station Code: VNA'],Observatory Station Code: VNA
Newport,Newport,['Observatory Station Code: NEW'],Observatory Station Code: NEW
Niemegk,Niemegk,['Observatory Station Code: NGK'],Observatory Station Code: NGK
Nord Geophysical Observatory,Nord Geophysical Observatory,['Observatory Station Code: NRD'],Observatory Station Code: NRD
Nordkapp Geophysical Observatory,NOR,['Observatory Station Code: NOR'],Observatory Station Code: NOR
Norway Station,Norway Station,['Observatory Station Code: NWS'],Observatory Station Code: NWS
Novokazalinsk,Novokazalinsk,['Observatory Station Code: NKK'],Observatory Station Code: NKK
Novolazarevskaya,Novolazarevskaya,['Observatory Station Code: NVL'],Observatory Station Code: NVL
Novosibirsk,Novosibirsk,"['Klyuchi', 'Observatory Station Code: NVS']",Observatory Station Code: NVS
Nurmijarvi Geophysical Observatory,Nurmijarvi Geophysical Observatory,['Observatory Station Code: NUR'],Observatory Station Code: NUR
Nuuk Geophysical Observatory,GHB,"['Godthap Vector Magnetic Field 1.0 min Data Geophysical Observatory', 'Observatory Station Code: GHB']",Godthap Vector Magnetic Field 1.0 min Data Geophysical Observatory
Ny Alesund Geophysical Observatory,Ny Alesund Geophysical Observatory,['Observatory Station Code: NAL'],Observatory Station Code: NAL
Nyalesund,NAL,['Observatory Station Code: NAL'],Observatory Station Code: NAL
Oasis,Oasis,['Observatory Station Code: OAS'],Observatory Station Code: OAS
Ottawa Geophysical Observatory,Ottawa Geophysical Observatory,['Observatory Station Code: OTT'],Observatory Station Code: OTT
Oulujarvi Geophysical Observatory,Oulujarvi Geophysical Observatory,['Observatory Station Code: OUJ'],Observatory Station Code: OUJ
Paamiut Geophysical Observatory,FHB,"['Observatory Station Code: FHB', 'Frederikshap Vector Magnetic Field 1.0 min Data Geophysical Observatory']",Frederikshap Vector Magnetic Field 1.0 min Data Geophysical Observatory
Pamatai,Pamatai,"['Papeete', 'Observatory Station Code: PPT']",Observatory Station Code: PPT
Panagjurishte,Panagjurishte,['Observatory Station Code: PAG'],Observatory Station Code: PAG
Pangnirtung Geophysical Observatory,PANG,['Observatory Station Code: PANG'],Observatory Station Code: PANG
Paramaribo,Paramaribo,['Observatory Station Code: PAB'],Observatory Station Code: PAB
Paratunka,Paratunka,"['Petropavlovsk', 'Observatory Station Code: PET']",Observatory Station Code: PET
Parc St Maur,Parc St Maur,['Observatory Station Code: PSM'],Observatory Station Code: PSM
Park Site Geophysical Observatory,PKS,['Observatory Station Code: PKS'],Observatory Station Code: PKS
Patrony,Patrony,['Observatory Station Code: IRT'],Observatory Station Code: IRT
Pedeli,Pedeli,"['Penteli', 'Observatory Station Code: PEG']",Observatory Station Code: PEG
Pello Geophysical Observatory,PEL,['Observatory Station Code: PEL'],Observatory Station Code: PEL
Pelly Bay Geophysical Observatory,Pelly Bay Geophysical Observatory,['Observatory Station Code: PEB'],Observatory Station Code: PEB
PENGUIn,PENGUIn,['Polar Experimental Network for Geospace Upper atmosphere Investigations'],Polar Experimental Network for Geospace Upper atmosphere Investigations
PENGUIn-0 Geophysical Observatory,PG0,['Observatory Station Code: PG0'],Observatory Station Code: PG0
PENGUIn-1 Geophysical Observatory,PG1,['Observatory Station Code: PG1'],Observatory Station Code: PG1
PENGUIn-2 Geophysical Observatory,PG2,['Observatory Station Code: PG2'],Observatory Station Code: PG2
PENGUIn-3 Geophysical Observatory,PG3,['Observatory Station Code: PG3'],Observatory Station Code: PG3
PENGUIn-4 Geophysical Observatory,PG4,['Observatory Station Code: PG4'],Observatory Station Code: PG4
PENGUIn-5 Geophysical Observatory,PG5,['Observatory Station Code: PG5'],Observatory Station Code: PG5
Petersburg Geophysical Observatory,PTRS,['Observatory Station Code: PTRS'],Observatory Station Code: PTRS
Pevek Geophysical Observatory,PBK,['Observatory Station Code: PBK'],Observatory Station Code: PBK
Phuthuy,Phuthuy,['Observatory Station Code: PHU'],Observatory Station Code: PHU
Pilar,Pilar,['Observatory Station Code: PIL'],Observatory Station Code: PIL
Pinawa Geophysical Observatory,PINA,['Observatory Station Code: PINA'],Observatory Station Code: PINA
Pine Ridge Geophysical Observatory,PINE,['Observatory Station Code: PINE'],Observatory Station Code: PINE
Pionerskaya,Pionerskaya,['Observatory Station Code: PIO'],Observatory Station Code: PIO
Plateau,Plateau,['Observatory Station Code: PTU'],Observatory Station Code: PTU
Pleshenitzi,Pleshenitzi,"['Minsk', 'Observatory Station Code: MNK']",Observatory Station Code: MNK
Podkamennaya Tunguska,Podkamennaya Tunguska,['Observatory Station Code: POD'],Observatory Station Code: POD
Poker Flat Geophysical Observatory,Poker Flat Geophysical Observatory,['Observatory Station Code: POKR'],Observatory Station Code: POKR
Pondicherry,Pondicherry,['Observatory Station Code: PND'],Observatory Station Code: PND
Port Alfred,Port Alfred,['Observatory Station Code: CZT'],Observatory Station Code: CZT
Port-aux-Francais,Port aux Francais,['Observatory Station Code: PAF'],Observatory Station Code: PAF
Port Stanley,Port Stanley,['Observatory Station Code: PST'],Observatory Station Code: PST
Poste-de-la-Baleine,Poste de la Baleine,['Observatory Station Code: PBQ'],Observatory Station Code: PBQ
Price,Price,['Observatory Station Code: PCU'],Observatory Station Code: PCU
Priddis Geophysical Observatory,ROTH,['Observatory Station Code: ROTH'],Observatory Station Code: ROTH
Prince George Geophysical Observatory,PGEO,['Observatory Station Code: PGEO'],Observatory Station Code: PGEO
Pruhonice,Pruhonice,['Observatory Station Code: PRU'],Observatory Station Code: PRU
Pueblo Geophysical Observatory,PBLO,['Observatory Station Code: PBLO'],Observatory Station Code: PBLO
Purcell Geophysical Observatory,PCEL,['Observatory Station Code: PCEL'],Observatory Station Code: PCEL
Puvirnituq Geophysical Observatory,PUVR,['Observatory Station Code: PUVR'],Observatory Station Code: PUVR
Qaanaaq Geophysical Observatory,THL,"['Observatory Station Code: THL', 'Thule Geophysical Observatory']",Observatory Station Code: THL
Qeqertarsuaq Geophysical Observatory,GDH,"['Observatory Station Code: GDH', 'Godhavn Geophysical Observatory']",Godhavn Geophysical Observatory
Qianling,Qianling,['Observatory Station Code: QIX'],Observatory Station Code: QIX
Qiongzhong,Qiongzhong,['Observatory Station Code: QGZ'],Observatory Station Code: QGZ
Qsaybeh,Qsaybeh,['Observatory Station Code: QSB'],Observatory Station Code: QSB
Quanzhou,Quanzhou,['Observatory Station Code: QZH'],Observatory Station Code: QZH
Quetta,Quetta,['Observatory Station Code: QUE'],Observatory Station Code: QUE
Radisson Geophysical Observatory,RADI,[''],Radisson Geophysical Observatory
Russian Arctic and Antarctic Magnetometer network,RAM,['RAM'],RAM
Rankin Inlet Geophysical Observatory,Rankin Inlet Geophysical Observatory,['Observatory Station Code: RANK'],Observatory Station Code: RANK
Ranua Geophysical Observatory,RAN,['Observatory Station Code: RAN'],Observatory Station Code: RAN
Red Deer Geophysical Observatory,REDR,['Observatory Station Code: REDR'],Observatory Station Code: REDR
Remus Geophysical Observatory,RMUS,['Observatory Station Code: RMUS'],Observatory Station Code: RMUS
Repulse Bay Geophysical Observatory,RBAY,['Observatory Station Code: RBAY'],Observatory Station Code: RBAY
Resolute Bay,Resolute Bay,['Observatory Station Code: RES'],Observatory Station Code: RES
Richardson Geophysical Observatory,RICH,['Observatory Station Code: RICH'],Observatory Station Code: RICH
Roburent,Roburent,['Observatory Station Code: ROB'],Observatory Station Code: ROB
Roemoe,ROE,['Observatory Station Code: ROE'],Observatory Station Code: ROE
Roi Baudouin 2,Roi Baudouin,['Observatory Station Code: RBD'],Observatory Station Code: RBD
Romo Geophysical Observatory,Romo Geophysical Observatory,[''],Romo Geophysical Observatory
Rorvik Geophysical Observatory,RVK,['Observatory Station Code: RVK'],Observatory Station Code: RVK
Rude Skov,Rude Skov,['Observatory Station Code: RSV'],Observatory Station Code: RSV
Sabhawala,Sabhawala,['Observatory Station Code: SAB'],Observatory Station Code: SAB
Sable Island,Sable Island,['Observatory Station Code: SBL'],Observatory Station Code: SBL
Southern Auroral Electrojet Index,Southern Auroral Electrojet Index,[''],Southern Auroral Electrojet Index
Saint-Felicien Geophysical Observatory,STFL,['Observatory Station Code: STFL'],Observatory Station Code: STFL
Saint Johns,Saint Johns,['Observatory Station Code: STJ'],Observatory Station Code: STJ
Salluit Geophysical Observatory,SALU,['Observatory Station Code: SALU'],Observatory Station Code: SALU
SAMBA Ground Observatory Group,SAMBA Ground Observatory Group,"['Chain of ground stations in the SAMBA Array.', 'SAMBA Ground Observatory Group']",Chain of ground stations in the SAMBA Array.
Antofagasta,Antofagasta,[''],Antofagasta
Escudero,Escudero,[''],Escudero
La Serena,La Serena,[''],La Serena
Los Cerrillos,Los Cerrillos,[''],Los Cerrillos
O'Higgins,O'Higgins,[''],O'Higgins
Osorno,Osorno,[''],Osorno
Puerto Natales,Puerto Natales,[''],Puerto Natales
Punta Arenas,Punta Arenas,[''],Punta Arenas
Putre,Putre,[''],Putre
Valdivia,Valdivia,[''],Valdivia
San Antonio Geophysical Observatory,SATX,['Observatory Station Code: SATX'],Observatory Station Code: SATX
San Fernando,San Fernando,['Observatory Station Code: SFS'],Observatory Station Code: SFS
San Juan Geophysical Observatory,San Juan Geophysical Observatory,['Observatory Station Code: SJG'],Observatory Station Code: SJG
San Pablo-Toledo,San Pablo Toledo,['Observatory Station Code: SPT'],Observatory Station Code: SPT
Sanae III,Sanae III,['Observatory Station Code: SNA'],Observatory Station Code: SNA
Sanikiluaq Geophysical Observatory,SNKQ,['Observatory Station Code: SNKQ'],Observatory Station Code: SNKQ
Sao Miguel,Sao Miguel,['Observatory Station Code: SMG'],Observatory Station Code: SMG
Savissivik Geophysical Observatory,SVS,['Observatory Station Code: SVS'],Observatory Station Code: SVS
Schefferville Geophysical Observatory,SCHF,['Observatory Station Code: SCHF'],Observatory Station Code: SCHF
Scoresby Sund 2,Scoresby Sund,['Observatory Station Code: SCO'],Observatory Station Code: SCO
Sept Iles Geophysical Observatory,SEPT,['Observatory Station Code: SEPT'],Observatory Station Code: SEPT
Shawano Geophysical Observatory,SWNO,['Observatory Station Code: SWNO'],Observatory Station Code: SWNO
Sheshan,Sheshan,"['Zo-Se', 'Observatory Station Code: SSH']",Observatory Station Code: SSH
Shillong,Shillong,['Observatory Station Code: SHL'],Observatory Station Code: SHL
Shumagin Geophysical Observatory,Shumagin Geophysical Observatory,['Observatory Station Code: SHU'],Observatory Station Code: SHU
Silchar,Silchar,['Observatory Station Code: SIL'],Observatory Station Code: SIL
Simosato,Simosato,['Observatory Station Code: SSO'],Observatory Station Code: SSO
Sitka Geophysical Observatory,Sitka Geophysical Observatory,['Observatory Station Code: SIT'],Observatory Station Code: SIT
