HelioData_long_name,SPASE_AlternateName
[''],BARREL Balloon 6A
[''],BARREL Balloon 7A
[''],Big Bear Solar Observatory (BBSO)
[''],BepiColombo Spacecraft
[''],CHAMP
[''],CLIMAX
['Coupled Ion Neutral Dynamics Investigation (CINDI)'],Communication/Navigation Outage Forecasting System
[''],CONT
"['KORONAS-F', 'AUS-SM-KF']",CORONAS F
[''],Dawn
[''],DAWS
['DE'],Dynamics Explorer
[''],Daniel K Inouye Solar Telescope (DKIST)
[''],DMSP_5D-2
['2015-007A'],Deep Space Climate Observatory
[''],Dunn Solar Telescope (DST)
[''],Technical University of Denmark Magnetic Ground Stations
[''],e-CALLISTO International Network of Solar Radio Spectrometers
[''],"Electron Losses and Fields Investigation A, CubeSat"
[''],"Electron Losses and Fields Investigation B, CubeSat"
[''],Emirates Mars Mission (EMM)
[''],ESKI
[''],Explorer Spacecraft Series
"['1996-049A', 'Small Explorer/FAST', 'Explorer 70', 'SMEX/FAST', 'Fast Auroral SnapshoT Explorer']",Fast Auroral Snapshot
[''],Fermi Gamma-ray Space Telescope
[''],MCMU
[''],FSIM
[''],FSMI
[''],GILL
[''],Giotto
[''],Gravity Field and Steady-State Ocean Circulation Explorer (GOCE)
['GOES Satellite Series'],Geostationary Operational Environmental Satellites
"['SES-14', '43175']",Global-scale Observations of the Limb and Disk
[''],Gravity Recovery and Climate Experiment (GRACE)
[''],Akulivik Geophysical Observatory
[''],Amderma Geophysical Observatory
[''],Anchorage Geophysical Observatory
[''],Andenes Geophysical Observatory
[''],Athabasca Geophysical Observatory
[''],Attu Geophysical Observatory
[''],Baker Lake Geophysical Observatory
[''],Baranov Geophysical Observatory
[''],Barentsburg Geophysical Observatory
[''],Barrow Geophysical Observatory
[''],Bennington Geophysical Observatory
[''],Bettles Geophysical Observatory
[''],Bjornoya Geophysical Observatory
[''],Boulder Geophysical Observatory
[''],Brorfelde Geophysical Observatory
[''],Cambridge Bay Geophysical Observatory
[''],Cape Dorset Geophysical Observatory
[''],Carson City Geophysical Observatory
[''],Chibougamau Geophysical Observatory
[''],Clyde River Geophysical Observatory
[''],College Geophysical Observatory
[''],Colville National Forest Geophysical Observatory
[''],CTIO
[''],Daneborg Geophysical Observatory
[''],Danmarkshavn Geophysical Observatory
[''],Dead Horse Geophysical Observatory
[''],Dededo Geophysical Observatory
[''],Derby Geophysical Observatory
[''],Dikson Geophysical Observatory
[''],Dombas Geophysical Observatory
[''],Donna Geophysical Observatory
[''],Eagle Geophysical Observatory
[''],THEMIS-Associated Ground Magnetometer Stations
[''],Hankasalmi Geophysical Observatory
[''],Hov Faroe Islands Geophysical Observatory
[''],Karmoy Geophysical Observatory
[''],Learmonth
[''],Leirvogur Geophysical Observatory
[''],"Mid-continent Magnetoseismic Chain, McMAC, Observatory Chain"
[''],Near Conjugate Northern Auroral Electrojet Index
[''],Radisson Geophysical Observatory
[''],Romo Geophysical Observatory
[''],Southern Auroral Electrojet Index
[''],Antofagasta
[''],Escudero
[''],La Serena
[''],Los Cerrillos
[''],O'Higgins
[''],Osorno
[''],Puerto Natales
[''],Punta Arenas
[''],Putre
[''],Valdivia
"['Solar-Terrestrial Energy Program, STEP, Polar Network', 'UAPM', 'Upper Atmospheric Monitoring Program']",Solar Terrestrial Energy Program
[''],Tasiilaq Geophysical Observatory
[''],TEIDE Observatory
[''],Toolik Lake Geophysical Observatory
[''],Trapper Creek Geophysical Observatory
['Observatory Station Code: TRO'],Tromso Geophysical Observatory
[''],Udaipur
[''],Upernavik Geophysical Observatory
[''],HANET Observatory Network
[''],Helios Mission
[''],HEO-1
[''],HEO-2
[''],HEO-3
[''],Heliophysics Environmental and Radiation Measurement Experiment Suite (HERMES)
[''],Hinode
[''],Interstellar Boundary Explorer
[''],AGO P1
[''],AGO P2
[''],AGO P3
[''],AGO P4
[''],AGO P5
[''],AGO P6
[''],Gakona
[''],Iqaluit
[''],McMurdo
[''],South Pole
"['ICON', '44628']",Ionospheric Connection
[''],IGPP-LANL Air Force Academy Magnetometer
[''],IGPP-LANL Boulder Magnetometer
[''],IGPP-LANL Cambridge Magnetometer
[''],IGPP-LANL Crete Magnetometer
[''],IGPP-LANL Jicamarca Magnetometer
[''],IGPP-LANL Los Alamos National Laboratory Magnetometer
[''],IGPP-LANL Rapid City Magnetometer
[''],IGPP-LANL San Gabriel Dam Magnetometer
[''],IGPP-LANL SE Louisiana University Magnetometer
[''],IGPP-LANL Table Mountain Magnetometer
[''],IGPP-LANL Teoloyucan Magnetometer
['International GPS Service'],International GNSS Service
[''],IMP Spacecraft Series
[''],Interball Auroral
[''],Interball Tail
[''],IRIDIUM
[''],IRIDIUM_1_70
['2013-033A'],Interface Region Imaging Spectrograph
[''],International Sun-Earth Explorer
[''],ISLL
[''],International Space Station
[''],JSPO
[''],Kaguya (SELENE)
[''],Korean Multi-Purpose Satellite (KOMPSAT-1)
[''],KSO
[''],LANL Spacecraft Series
[''],LANL01A
[''],LANL02A
[''],LOFAR
[''],Mariner 10
[''],Mars Express
['Curiosity'],Mars Science Laboratory
['MAVEN'],Mars Atmosphere and Volatile EvolutioN
[''],Mid-continent Magnetoseismic Chain (McMAC) Americus Station
[''],Mid-continent Magnetoseismic Chain (McMAC) Bennington Station
[''],Mid-continent Magnetoseismic Chain (McMAC) Glyndon Station
[''],Mid-continent Magnetoseismic Chain (McMAC) Linares Station
[''],Mid-continent Magnetoseismic Chain (McMAC) Lyford Station
[''],Mid-continent Magnetoseismic Chain (McMAC) Purcell Station
[''],Mid-continent Magnetoseismic Chain (McMAC) Richardson Station
[''],Mid-continent Magnetoseismic Chain (McMAC) San Antonio Station
[''],Mid-continent Magnetoseismic Chain (McMAC) Worthington Station
[''],Applied Physics Lab Geomagnetic Observatory
[''],Bullcreek Observatory Geomagnetic Observatory
[''],Clarkson University Geomagnetic Observatory
[''],Darksky Observatory Geomagnetic Observatory
[''],Grafton Test Facility Geomagnetic Observatory
[''],The Jacksonville University Geomagnetic Observatory.
[''],The Millstone Hill Geomagnetic Observatory.
[''],The University of South Carolina Geomagnetic Observatory.
[''],MetOp-A
[''],MetOp-A
[''],Observatoire de Paris (Meudon site)
"['1996-062A', 'MGS', '1996-062A']",Mars Global Surveyor
[''],Magnetosphere-Ionosphere Coupling in the Alfvén resonator (MICA)
[''],Magnetospheric Multiscale
[''],MMS-1
[''],MMS-2
[''],MMS-3
[''],MMS-4
[''],Munin Spacecraft
[''],Neutron Monitor Stations
[''],Fort Smith
[''],Inuvik
[''],McMurdo
[''],Nain
[''],Peawanuck
[''],South Pole
[''],SwarthmoreNewark
[''],Thule
[''],Climax
[''],Haleakala
[''],Huancayo
[''],Nimbus 7
[''],NOAA 11
[''],NOAA 9
[''],NOB_RH
[''],NSO Observatory Group
[''],OAC
[''],ObsParis
[''],OGO Satellites
[''],OMNI
"['PSP', 'Solar Probe Plus Spacecraft', 'SPP']",Parker Solar Probe
[''],PICARD
[''],Pic du Midi
[''],PINA
[''],Pioneer Spacecraft Series
[''],Polar-orbiting Operational Environmental Satellite (POES)
[''],PROBA2
[''],Prognoz Spacecraft Series
[''],RABB
[''],Radio JOVE Observatory Network
[''],RANK
[''],Redline Emission Geospace Observatory (rEGO)
[''],Rocket Experiment for Neutral Upwelling 2
"['2002-004A', 'SMEX/RHESSI', 'Small Explorer/RHESSI', 'HESSI', 'Reuven Ramaty High Energy Solar Spectroscopic Imager']",Reuven Ramaty High Energy Solar Spectroscope Imager
"['Explorer 45', 'SSS-A']",S-Cubed A
"['Satélite de Aplicaciones Científicas-C', 'Scientific Application Satellite-C', 'Oersted-2', 'NSSDC ID: 2000-075B']",SAC-C Project
[''],San Fernando Observatory
[''],San Marco-DL
[''],SDIC
[''],Spherical Elementary Current Systems
[''],Sodankylä Geophysical Observatory
[''],Siple Experiment
[''],SME
[''],Solar wind-Magnetosphere-Ionosphere Link Explorer (SMILE)
[''],Student Nitric Oxide Explorer
[''],SOLIS
"['2003-004A', 'SOlar Radiation and Climate Experiment']",Solar Radiation and Climate Experiment
[''],LOFAR FR606 High Band Array
[''],LOFAR FR606 Low Band Array
[''],Nancay Decameter Array
[''],NenuFAR
[''],Nancay Radioheliograph
[''],Nancay Radioheliograph
[''],ORFEES
[''],ST5 Mission
[''],Solar-Terrestrial Relations Observatory
[''],STPSat-1
[''],SuperDARN
[''],SuperMAG
[''],TALO
['MIDEX/THEMIS'],Time History of Events and Macroscale Interactions during Substorms
"['Explorer 85', '2007-004A', 'MIDEX/THEMIS', 'THEMIS-P5', '30580']",Time History of Events and Macroscale Interactions during Substorms A
"['Explorer 86', '2007-004B', 'MIDEX/THEMIS', 'THEMIS-P1', 'ARTEMIS-P1', '30581']",Time History of Events and Macroscale Interactions during Substorms B
"['Explorer 87', '2007-004C', 'MIDEX/THEMIS', 'THEMIS-P2', 'ARTEMIS-P2', '30582']",Time History of Events and Macroscale Interactions during Substorms C
"['Explorer 88', '2007-004D', 'MIDEX/THEMIS', 'THEMIS-P3', '30797']",Time History of Events and Macroscale Interactions during Substorms D
"['Explorer 89', '2007-004E', 'MIDEX/THEMIS', 'THEMIS-P4', '30798']",Time History of Events and Macroscale Interactions during Substorms E
[''],THEMIS-Associated Ground Magnetometer Stations
['NASA THEMIS CANMAG Ground Stations'],Canadian Magnetometer Array
[''],THULE
"['2001-055B', 'Thermosphere Ionosphere Mesosphere Energetics and Dynamics']",Thermosphere-Ionosphere-Mesosphere Energetics and Dynamics
[''],TIROSN
[''],Transition Region Explorer (TREx)
[''],Two Wide-angle Imaging Neutral Atom Spectrometers
[''],TWINS 1
[''],TWINS 2
[''],Upper Atmosphere Research Satellite
[''],University of New Hampshire Observatory
['Venera-Halley'],Vega Mission
[''],Venus Express
[''],Voyager 1 & 2
[''],Abinger Ground Observatory
[''],Abisko Ground Observatory
[''],Addis Ababa Ground Observatory
[''],Agincourt Ground Observatory
[''],Alert Ground Observatory
[''],Alibag Ground Observatory
[''],Alice Springs Ground Observatory
[''],Alma Ata Ground Observatory
[''],Almeria Ground Observatory
[''],Amatsia Ground Observatory
[''],Amberley Ground Observatory
[''],Anchorage Ground Observatory
[''],Annamalainagar Ground Observatory
[''],Antananarivo Ground Observatory
[''],Apia Ground Observatory
[''],Arctowski Ground Observatory
[''],Arkhangelsk Ground Observatory
[''],Arti Ground Observatory
[''],Ascension Ground Observatory
[''],Aso Ground Observatory
[''],Baguio Ground Observatory
[''],Baker Lake Ground Observatory
[''],Bangui Ground Observatory
[''],Bar Gyora Ground Observatory
[''],Barrow Ground Observatory
[''],Bay St. Louis Ground Observatory
[''],Bear Island Ground Observatory
[''],Beijing Ground Observatory
[''],Beijing Ming Tombs Ground Observatory
[''],Beloit Ground Observatory
[''],Belsk Ground Observatory
[''],Bereznyaki Ground Observatory
[''],Big Delta Ground Observatory
[''],Borok Ground Observatory
[''],Boulder Ground Observatory
[''],Brorfelde Ground Observatory
[''],Budkov Ground Observatory
[''],Burlington Ground Observatory
[''],Byrd Station Ground Observatory
[''],Cambridge Bay Ground Observatory
[''],Canberra Ground Observatory
[''],Cape Chelyuskin Ground Observatory
[''],Cape Town Ground Observatory
[''],Cape Wellen Ground Observatory
[''],Carrollton Ground Observatory
[''],Casey Ground Observatory
[''],Castellaccio Ground Observatory
[''],Chambon-la-Foret Ground Observatory
[''],Changchun Ground Observatory
[''],Characato Ground Observatory
[''],Charcot Ground Observatory
[''],Charters Towers Ground Observatory
[''],Cheltenham Ground Observatory
[''],Chengdu Ground Observatory
[''],Chichijima Ground Observatory
[''],Coimbra Ground Observatory
[''],College Ground Observatory
[''],Dallas Ground Observatory
[''],Davao Ground Observatory
[''],Davis Ground Observatory
[''],De Bilt Ground Observatory
[''],Del Rio Ground Observatory
[''],Dixon Ground Observatory
[''],Dombas Ground Observatory
[''],Dourbes Ground Observatory
[''],Dumont d'Urville Ground Observatory
[''],Dusheti Ground Observatory
[''],Easter Island Ground Observatory
[''],Ebro Ground Observatory
[''],Eights Ground Observatory
[''],Eilat Ground Observatory
[''],Esashi Ground Observatory
[''],Eskdalemuir Ground Observatory
[''],Etaiyapuram Ground Observatory
[''],Eyrewell Ground Observatory
[''],Fanning Ground Observatory
[''],Faraday Islands Ground Observatory
[''],Fort Churchill Ground Observatory
[''],Fredericksburg Ground Observatory
[''],Freetown Ground Observatory
[''],Fresno Ground Observatory
[''],Fuquene Ground Observatory
[''],Furstenfeldbruck Ground Observatory
[''],Glenlea Ground Observatory
[''],Gnangara Ground Observatory
[''],Godhavn Ground Observatory
[''],Golmud Ground Observatory
[''],Gornotayezhnaya Ground Observatory
[''],Grahamstown Ground Observatory
[''],Great Whale River Ground Observatory
[''],Grocka Ground Observatory
[''],Guam Ground Observatory
[''],Guangzhou Ground Observatory
[''],Guimar Ground Observatory
[''],Halley Bay Ground Observatory
[''],Hartebeesthoek Ground Observatory
[''],Hartland Ground Observatory
[''],Hatizyo Ground Observatory
[''],Havana Ground Observatory
[''],Heiss Island Ground Observatory
[''],Hel Ground Observatory
[''],Helwan Ground Observatory
[''],Hermanus
[''],Hollandia Ground Observatory
[''],Honolulu
[''],Hornsund Ground Observatory
[''],Huancayo Ground Observatory
[''],Hurbanovo Ground Observatory
[''],Hyderabad Ground Observatory
[''],Ibadan Ground Observatory
[''],Iqaluit Ground Observatory
[''],Istanbul Kandilli Ground Observatory
[''],Jaipur Ground Observatory
[''],Jarvis Island Ground Observatory
[''],Kakadu Ground Observatory
[''],Kakioka
[''],Kanoya Ground Observatory
[''],Kanozan Ground Observatory
[''],Karachi Ground Observatory
[''],Kashi Ground Observatory
[''],Kiev Ground Observatory
[''],Kiruna Ground Observatory
[''],Kodaikanal Ground Observatory
[''],Koror Ground Observatory
[''],Kourou Ground Observatory
[''],Kr. Pakhra Ground Observatory
[''],La Quiaca Ground Observatory
[''],Lanzhou Ground Observatory
[''],L'Aquila Ground Observatory
[''],Las Mesas Ground Observatory
[''],Leadville Ground Observatory
[''],Learmonth Ground Observatory
[''],Leirvogur Ground Observatory
[''],Leningradskaya Ground Observatory
[''],Lerwick Ground Observatory
[''],Little America Ground Observatory
[''],Livingston Island Ground Observatory
[''],Logrono Ground Observatory
[''],Loparskoe Ground Observatory
[''],Lovo Ground Observatory
[''],Luanda Capelo Ground Observatory
[''],Lunping Ground Observatory
[''],Lviv Ground Observatory
[''],Lwiro Ground Observatory
[''],Macquarie Island Ground Observatory
[''],Magadan Ground Observatory
[''],Manhay Ground Observatory
[''],Manzhouli Ground Observatory
[''],Maputo Ground Observatory
[''],Martin de Vivies Ground Observatory
[''],Mawson Ground Observatory
[''],MBour Ground Observatory
[''],Meanook Ground Observatory
[''],Memambetsu Ground Observatory
[''],Midway Ground Observatory
[''],Minck Ground Observatory
[''],Mirny Ground Observatory
[''],Misallat Ground Observatory
[''],Mizusawa Ground Observatory
[''],Moca Ground Observatory
[''],Molodezhnaya Ground Observatory
[''],Monte Capellino Ground Observatory
[''],Mould Bay Ground Observatory
[''],Muntinlupa Ground Observatory
[''],Murchison Bay Ground Observatory
[''],Nagpur Ground Observatory
[''],Nagycenk Ground Observatory
[''],Nairobi Ground Observatory
[''],Nampula Ground Observatory
[''],Narsarsuaq Ground Observatory
[''],Neumayer Station Ground Observatory
[''],Newport Ground Observatory
[''],Niemegk Ground Observatory
[''],Norway Station Ground Observatory
[''],Novokazalinsk Ground Observatory
[''],Novolazarevskaya Ground Observatory
[''],"Novosibirsk, Klyuch Ground Observatory"
[''],Nurmijarvi Ground Observatory
[''],Oasis Ground Observatory
[''],Ottawa Ground Observatory
[''],Pamatai Ground Observatory
[''],Panagyurishte Ground Observatory
[''],Paramaribo Ground Observatory
[''],Paratunka Ground Observatory
[''],Patrony Ground Observatory
[''],Penteli Ground Observatory
[''],Phuthuy Ground Observatory
[''],Pilar Ground Observatory
[''],Pionerskaya Ground Observatory
[''],Plateau Ground Observatory
[''],Podkamennaya Ground Observatory
[''],Pondicherry Ground Observatory
[''],Port Alfred Ground Observatory
[''],Port aux Francais Ground Observatory
[''],Port Moresby Ground Observatory
[''],Port Stanley Ground Observatory
[''],Poste de la Baleine Ground Observatory
[''],Price Ground Observatory
[''],Pruhonice Ground Observatory
[''],Qianling Ground Observatory
[''],Qiongzhong Ground Observatory
[''],Qsaybeh Ground Observatory
[''],Quanzhou Ground Observatory
[''],Quetta Ground Observatory
[''],Resolute Ground Observatory
[''],Roburent Ground Observatory
[''],Roi Baudouin Ground Observatory
[''],Rude Skov Ground Observatory
[''],Sabhawala Ground Observatory
[''],Saint Johns Ground Observatory
[''],San Fernando Ground Observatory
[''],San Juan
[''],San Pablo-Toledo Ground Observatory
[''],Sanae Ground Observatory
[''],Sao Miguel Ground Observatory
[''],Sapa Ground Observatory
[''],Scott Base Ground Observatory
[''],Shillong Ground Observatory
[''],Shumagin Ground Observatory
[''],Silchar Ground Observatory
[''],Simosato Ground Observatory
[''],Sitka Ground Observatory
[''],Sodankyla Ground Observatory
[''],South Georgia Ground Observatory
[''],South Pole Ground Observatory
[''],Stepanovka Ground Observatory
[''],Stonyhurst Ground Observatory
[''],Sukkertoppen Ground Observatory
[''],Surlari Ground Observatory
[''],Swider Ground Observatory
[''],Tahiti Ground Observatory
[''],Talara Ground Observatory
[''],Tamanrasset Ground Observatory
[''],Tangerang Ground Observatory
[''],Tatuoca Ground Observatory
[''],Tehran Ground Observatory
[''],Teoloyucan Ground Observatory
[''],Thule Ground Observatory
[''],Tihany Ground Observatory
[''],Tikhaya Bay Ground Observatory
[''],Tirunelveli Ground Observatory
[''],Tixie Bay Ground Observatory
[''],Toledo Ground Observatory
[''],Tomsk Ground Observatory
[''],Tondano Ground Observatory
[''],Tonghai Ground Observatory
[''],Toolangi Ground Observatory
[''],Trelew Ground Observatory
[''],Trivandrum Ground Observatory
[''],Tromso Ground Observatory
[''],Tsumeb Ground Observatory
[''],Tucson Ground Observatory
[''],Tuntungan Ground Observatory
[''],Ujjain Ground Observatory
[''],Uppsala Ground Observatory
[''],V.Dubr. Ground Observatory
[''],Val Joyeux Ground Observatory
[''],Valentia Ground Observatory
[''],Vannovskaya Ground Observatory
[''],Vassouras Ground Observatory
[''],Victoria Ground Observatory
[''],Vieques Ground Observatory
[''],Visakhapatnam Ground Observatory
[''],Vostok Ground Observatory
[''],Voyeykovo Ground Observatory
[''],Watheroo Ground Observatory
[''],Whiteshell Ground Observatory
[''],Wien Kobenzl Ground Observatory
[''],Wilkes Ground Observatory
[''],Wingst Ground Observatory
[''],Witteveen Ground Observatory
[''],Wuhan Ground Observatory
[''],Y. Basar Ground Observatory
[''],Yakutsk Ground Observatory
[''],Yazhno Sakhalinsk Ground Observatory
[''],Yellowknife Ground Observatory
[''],Zaymishche Ground Observatory
[''],Zo-Se Ground Observatory
[''],WSO
[''],YNAO
[''],Zond 3
